,Unnamed: 0.1,Unnamed: 0,T_REC,USFLUXL,MEANGBL,R_VALUE,AREA,HARPNUM,NOAA_ARS,label,observation_period,prediction_period
142,142,142,2017-10-30 10:12:00,-0.417859972007855,-0.1285421775759946,0.1286828934786428,-0.1924608176133537,7169,12685,negative,D0,D0
143,143,143,2017-10-30 11:48:00,-0.4244536958420166,-0.1320366586007912,0.3488898665525949,-0.1970661828306375,7169,12685,negative,D0,D0
144,144,144,2017-10-30 13:24:00,-0.4288051170874076,-0.1938254367210632,-0.036184107304473,-0.2032068145651563,7169,12685,negative,D0,D0
145,145,145,2017-10-30 15:00:00,-0.4327260222047822,-0.207644520773669,-1.420259872620072,-0.2152203144193152,7169,12685,negative,D0,D0
146,146,146,2017-10-30 16:36:00,-0.4387154752431429,-0.2230520052920918,-1.420259872620072,-0.2287759641023009,7169,12685,negative,D0,D0
147,147,147,2017-10-30 18:12:00,-0.4473979857330782,-0.240047890276331,-1.420259872620072,-0.2442992203416019,7169,12685,negative,D0,D0
148,148,148,2017-10-30 19:48:00,-0.4583248506650808,-0.2616501366114389,-1.420259872620072,-0.2628408579892019,7169,12685,negative,D0,D0
149,149,149,2017-10-30 21:24:00,-0.4626551937811537,-0.2643504174033273,-1.420259872620072,-0.2828383884275028,7169,12685,negative,D0,D0
150,150,150,2017-10-30 23:00:00,-0.4764525082088137,-0.3137496718902286,-1.420259872620072,-0.299348424278734,7169,12685,negative,D0,D0
151,151,151,2017-10-31 00:36:00,-0.4851689675441991,-0.3949169356934656,-1.420259872620072,-0.3102731366371389,7169,12685,negative,D0,D0
152,152,152,2017-10-31 02:12:00,-0.4933377685815536,-0.4312913063606693,-1.420259872620072,-0.3198510955550712,7169,12685,negative,D0,D0
153,153,153,2017-10-31 03:48:00,-0.5042981160287116,-0.5291367750549818,-1.420259872620072,-0.3338227144254022,7169,12685,negative,D0,D0
154,154,154,2017-10-31 05:24:00,-0.510941923736518,-0.5469268602721293,-1.420259872620072,-0.3511745488046818,7169,12685,negative,D0,D0
155,155,155,2017-10-31 07:00:00,-0.525727018994295,-0.5431146991541695,-1.420259872620072,-0.3787995464127792,7169,12685,negative,D0,D0
156,156,156,2017-10-31 08:36:00,-0.5464131510665678,-0.6252350032368961,-0.5267499033409472,-0.4087552556775169,7169,12685,negative,D0,D0
157,157,157,2017-10-31 10:12:00,-0.5541497571868454,-0.694965783686252,-1.420259872620072,-0.42892551735928,7169,12685,negative,D0,D0
158,158,158,2017-10-31 11:48:00,-0.5670338103654726,-0.706561107086714,-1.420259872620072,-0.4565739243227106,7169,12685,negative,D0,D0
159,159,159,2017-10-31 13:24:00,-0.5793402668411528,-0.7426177976607546,-1.420259872620072,-0.4837132524826837,7169,12685,negative,D0,D0
160,160,160,2017-10-31 15:00:00,-0.5895764966067861,-0.7720032062783648,-1.420259872620072,-0.5098449651703398,7169,12685,negative,D0,D0
161,161,161,2017-10-31 16:36:00,-0.5993736297669818,-0.7904286516818392,-1.420259872620072,-0.5284649227120092,7169,12685,negative,D0,D0
162,162,162,2017-10-31 18:12:00,-0.6049487949715799,-0.7955115331724528,-1.420259872620072,-0.546592916766394,7169,12685,negative,D0,D0
163,163,163,2017-10-31 19:48:00,-0.6144245332927063,-0.8757257566961995,-1.420259872620072,-0.5674098904638716,7169,12685,negative,D0,D0
164,164,164,2017-10-31 21:24:00,-0.6253262163887979,-0.8472933883580793,-1.420259872620072,-0.5959061105980993,7169,12685,negative,D0,D0
165,165,165,2017-10-31 23:00:00,-0.6434927658791043,-0.8121897380635289,-1.420259872620072,-0.6408885543893988,7169,12685,negative,D0,D0
166,166,166,2017-11-01 00:36:00,-0.6508570538921372,-0.7313401543534557,-1.420259872620072,-0.6673550332533613,7169,12685,negative,D0,D0
167,167,167,2017-11-01 02:12:00,-0.6783714739367782,-0.8449107876593541,-1.420259872620072,-0.7154561615106804,7169,12685,negative,D0,D0
168,168,168,2017-11-01 03:48:00,-0.6920342987074626,-0.8874799201432435,-1.420259872620072,-0.7350541243469759,7169,12685,negative,D0,D0
169,169,169,2017-11-01 05:24:00,-0.7098909903701892,-1.0739581348301313,-1.420259872620072,-0.7629595198756787,7169,12685,negative,D0,D0
170,170,170,2017-11-01 07:00:00,-0.7213488562820979,-1.0590271704514538,-1.420259872620072,-0.7859820747529561,7169,12685,negative,D0,D0
171,171,171,2017-11-01 08:36:00,-0.7277880662364319,-0.9923143508871498,-1.420259872620072,-0.8025720583633487,7169,12685,negative,D0,D0
